id,site_code,date,eb_consumption,dg_consumption,solar1_consumption,solar2_consumption,fuel_consumption,water_consumption,borewell,canteen_food_waste,stp_inlet,stp_outlet,total_power_consumption,eui_daily,comments,data_quality_score,processed_at,updated_at
1,LKO1,2025-01-01 00:00:00,12475.0,0.0,1561.0,775.0,0.0,45.0,45.0,40.0,50.0,46.0,14811.0,0.3837367321353949,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
2,LKO1,2025-01-02 00:00:00,11828.0,0.0,1916.0,926.0,0.0,34.0,34.0,42.5,50.0,44.0,14670.0,0.3800835770998746,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
3,LKO1,2025-01-03 00:00:00,12553.0,190.0,1353.0,663.0,35.0,37.0,37.0,36.0,44.0,47.0,14759.0,0.3823894692854158,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
4,LKO1,2025-01-04 00:00:00,12125.0,832.0,1199.0,603.0,190.0,87.0,87.0,51.5,58.0,49.0,14759.0,0.3823894692854158,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
5,LKO1,2025-01-05 00:00:00,13336.0,159.0,509.0,217.0,70.0,30.0,30.0,36.0,50.0,46.0,14221.0,0.3684504805683243,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
6,LKO1,2025-01-06 00:00:00,12575.0,0.0,1081.0,572.0,0.0,75.0,75.0,40.5,53.0,51.0,14228.0,0.36863184287505224,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
7,LKO1,2025-01-07 00:00:00,12657.0,301.0,400.0,209.0,195.0,42.0,42.0,40.0,55.0,52.0,13567.0,0.35150605933974094,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
8,LKO1,2025-01-08 00:00:00,12098.0,0.0,1404.0,689.0,0.0,26.0,26.0,47.5,60.0,58.0,14191.0,0.3676732135394902,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
9,LKO1,2025-01-09 00:00:00,10627.0,0.0,2422.0,1136.0,0.0,32.0,32.0,43.5,50.0,47.0,14185.0,0.3675177601337234,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
10,LKO1,2025-01-10 00:00:00,10205.0,416.0,2627.0,1231.0,60.0,34.0,34.0,49.5,52.0,49.0,14479.0,0.37513497701629755,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
11,LKO1,2025-01-11 00:00:00,9192.0,590.0,2988.0,1360.0,230.0,27.0,27.0,52.5,58.0,55.0,14130.0,0.36609277058086087,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
12,LKO1,2025-01-12 00:00:00,10968.0,225.0,1730.0,836.0,55.0,86.0,86.0,39.0,60.0,57.0,13759.0,0.35648056832427916,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
13,LKO1,2025-01-13 00:00:00,11017.0,144.0,1646.0,789.0,55.0,80.0,80.0,63.0,66.0,62.0,13596.0,0.35225741746761385,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
14,LKO1,2025-01-14 00:00:00,10657.0,68.0,1766.0,0.0,30.0,37.0,37.0,33.0,70.0,66.0,12491.0,0.32362808190555786,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
15,LKO1,2025-01-15 00:00:00,11913.0,73.0,1041.0,525.0,40.0,49.0,49.0,59.0,64.0,60.0,13552.0,0.35111742582532385,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
16,LKO1,2025-01-16 00:00:00,12107.0,0.0,1189.0,633.0,0.0,43.0,43.0,40.0,70.0,66.0,13929.0,0.3608850814876724,,64.61538461538461,2026-04-14 09:39:21,2026-04-14 15:09:21.911927
