log_id,file_name,site_code,processing_timestamp,status,records_processed,records_failed,error_message,processing_time_seconds
1,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 05:18:31,FAILED,0,0,"Data extraction failed: Missing required columns: ['EB Consumption(in Kwh )', 'Total DG Consumption( in Kwh )', 'Total Solar Consumption ( in kWh )', 'Total Solar Consumption -2( in kWh )', 'Total Fuel Consumption ( In Litres )', 'Total Water Consumption( in Kl )']",0.8958017826080322
2,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 05:49:39,FAILED,0,0,Data extraction failed: Error extracting data from C:\Users\vmminhas\Desktop\Shared_folder\LKO1_202501_Consumption.xlsx: 'Date',0.5807712078094482
3,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 05:49:39,FAILED,0,0,Unexpected error processing LKO1_202501_Consumption.xlsx: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\vmminhas\\Desktop\\Shared_folder\\LKO1_202501_Consumption.xlsx' -> 'C:\\Users\\vmminhas\\Desktop\\Error_Folder\\LKO1_202501_Consumption.xlsx',0.6035654544830322
4,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 07:34:44,FAILED,0,0,Data extraction failed: Error extracting data from C:\Users\vmminhas\Desktop\Shared_folder\LKO1_202501_Consumption.xlsx: 'Date',0.7213695049285889
5,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 07:34:44,FAILED,0,0,Unexpected error processing LKO1_202501_Consumption.xlsx: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\vmminhas\\Desktop\\Shared_folder\\LKO1_202501_Consumption.xlsx' -> 'C:\\Users\\vmminhas\\Desktop\\Error_Folder\\LKO1_202501_Consumption.xlsx',0.7386798858642578
6,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 07:39:55,FAILED,0,0,Data extraction failed: Error extracting data from C:\Users\vmminhas\Desktop\Shared_folder\LKO1_202501_Consumption.xlsx: 'Date',0.5627248287200928
7,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 08:24:49,FAILED,0,0,"Data extraction failed: No matching columns found. Available columns: ['D a t e', 'E B  C o n s u m p t i o n \n ( k W h )', 'T o t a l  D G  C o n s u m p t i o n \n ( k W h )', 'T o t a l  S o l a r  C o n s u m p t i o n - 1 \n ( k W h )', 'T o t a l  S o l a r  C o n s u m p t i o n - 2 \n ( k W h )', 'T o t a l  F u e l  C o n s u m p t i o n \n ( L i t r e s )', 'T o t a l  W a t e r  C o n s u m p t i o n \n ( K l )', 'E B  C o n s u m p t i o n  M T D \n ( k W h )', 'D G  C o n s u m p t i o n  M T D \n ( k W h )', 'S o l a r  C o n s u m p t i o n - 1 \n M T D  ( k W h )', 'S o l a r  C o n s u m p t i o n - 2 \n M T D  ( k W h )', 'T o t a l  P o w e r \n C o n s u m p t i o n  ( k W h )', 'T o t a l  P o w e r \n C o n s u m p t i o n  M T D  ( k W h )', 'B u d g e t  U n i t \n A s  p e r  E U I / D a y', 'F o r  E U I  M T D', 'E U I / D a y', 'E U I  M T D', 'B o r e w e l l \n ( K l )', 'C a n t e e n  F o o d \n W a s t e  ( k g )', 'S T P  W a t e r \n I n l e t  ( K l )', 'S T P  W a t e r \n O u t l e t  ( K l )', 'B o r e w e l l  M T D \n ( K l )', 'S T P  W a t e r \n I n l e t  M T D  ( K l )', 'S T P  W a t e r \n O u t l e t  M T D  ( K l )', 'C a n t e e n  F o o d \n W a s t e  M T D  ( k g )', 'C o m m e n t s / R e m a r k s']",0.5020959377288818
8,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 08:27:33,FAILED,0,0,"Data extraction failed: No matching columns found. Available columns: ['D a t e', 'E B  C o n s u m p t i o n \n ( k W h )', 'T o t a l  D G  C o n s u m p t i o n \n ( k W h )', 'T o t a l  S o l a r  C o n s u m p t i o n - 1 \n ( k W h )', 'T o t a l  S o l a r  C o n s u m p t i o n - 2 \n ( k W h )', 'T o t a l  F u e l  C o n s u m p t i o n \n ( L i t r e s )', 'T o t a l  W a t e r  C o n s u m p t i o n \n ( K l )', 'E B  C o n s u m p t i o n  M T D \n ( k W h )', 'D G  C o n s u m p t i o n  M T D \n ( k W h )', 'S o l a r  C o n s u m p t i o n - 1 \n M T D  ( k W h )', 'S o l a r  C o n s u m p t i o n - 2 \n M T D  ( k W h )', 'T o t a l  P o w e r \n C o n s u m p t i o n  ( k W h )', 'T o t a l  P o w e r \n C o n s u m p t i o n  M T D  ( k W h )', 'B u d g e t  U n i t \n A s  p e r  E U I / D a y', 'F o r  E U I  M T D', 'E U I / D a y', 'E U I  M T D', 'B o r e w e l l \n ( K l )', 'C a n t e e n  F o o d \n W a s t e  ( k g )', 'S T P  W a t e r \n I n l e t  ( K l )', 'S T P  W a t e r \n O u t l e t  ( K l )', 'B o r e w e l l  M T D \n ( K l )', 'S T P  W a t e r \n I n l e t  M T D  ( K l )', 'S T P  W a t e r \n O u t l e t  M T D  ( K l )', 'C a n t e e n  F o o d \n W a s t e  M T D  ( k g )', 'C o m m e n t s / R e m a r k s']",0.3428654670715332
9,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 08:33:17,FAILED,0,0,Data extraction failed: Error extracting data: '>' not supported between instances of 'tuple' and 'int',0.5351686477661133
10,LKO1_202501_Consumption.xlsx,LKO1,2026-04-14 08:46:20,FAILED,0,0,Data extraction failed: Error extracting data: '>' not supported between instances of 'tuple' and 'int',0.56671142578125
